# joint23(x,y), joint34(x,y),  joint36(x,y),     joint56(x,y),   foot(x,y)
46.79	27.73	32.22	24.55	21.60	24.48	23.29	38.31	23.52	0.09
46.90	26.57	32.11	24.65	21.52	25.49	24.80	39.04	20.61	1.04
46.76	25.41	31.86	24.86	21.39	26.68	26.85	39.51	16.47	2.71
46.38	24.31	31.49	25.14	21.24	27.92	29.10	39.43	11.73	5.37
45.77	23.31	31.02	25.44	21.05	29.11	30.99	38.88	7.35	8.83
44.97	22.46	30.43	25.75	20.78	30.18	32.10	38.31	4.12	12.26
44.01	21.80	29.71	26.02	20.37	31.08	32.39	38.12	2.13	14.77
42.92	21.36	28.84	26.24	19.74	31.72	31.98	38.38	0.99	15.99
41.77	21.15	27.80	26.34	18.82	32.01	30.93	38.90	0.37	15.94
40.61	21.20	26.58	26.24	17.55	31.83	29.25	39.40	0.05	14.72
39.48	21.49	25.22	25.86	15.94	31.02	26.98	39.52	-0.10	12.54
38.43	22.01	23.85	25.11	14.14	29.43	24.39	38.88	-0.19	9.60
37.52	22.74	22.67	24.04	12.51	27.14	22.00	37.34	-0.26	6.26
36.78	23.64	21.89	22.93	11.41	24.62	20.36	35.31	-0.27	3.12
36.25	24.69	21.55	22.22	10.94	22.67	19.61	33.58	-0.17	0.86
35.96	25.82	21.51	22.12	10.90	21.68	19.39	32.73	0.14	-0.30
35.91	26.98	21.68	22.51	11.11	21.50	19.39	32.71	0.77	-0.68
36.10	28.13	22.04	23.18	11.51	21.80	19.50	33.22	1.73	-0.63
36.54	29.22	22.59	23.95	12.09	22.33	19.74	33.98	2.99	-0.38
37.19	30.19	23.33	24.70	12.85	22.92	20.10	34.83	4.53	-0.09
38.03	30.99	24.23	25.36	13.77	23.48	20.56	35.65	6.34	0.16
39.03	31.61	25.26	25.88	14.82	23.92	21.08	36.37	8.40	0.31
40.13	31.99	26.39	26.21	15.96	24.20	21.59	36.95	10.70	0.31
41.29	32.14	27.55	26.34	17.13	24.32	22.02	37.37	13.25	0.16
42.45	32.04	28.71	26.26	18.28	24.26	22.29	37.61	16.01	-0.10
43.57	31.69	29.79	26.00	19.35	24.06	22.37	37.67	18.89	-0.41
44.58	31.12	30.74	25.60	20.27	23.79	22.27	37.58	21.65	-0.64
45.46	30.35	31.49	25.14	20.98	23.58	22.13	37.47	23.85	-0.72
46.15	29.41	31.98	24.76	21.42	23.61	22.20	37.53	24.93	-0.60
46.63	28.34	32.20	24.56	21.59	24.06	22.74	37.95	24.46	-0.24
